Entreprise;Description;Secteur;Pays;Adresse;Téléphone;Email;Site Web;LinkedIn;Effectif;Année création;Chiffre d'affaires;Score;Source
BICEC;Banque internationale du Cameroun pour l'épargne et le crédit;Finance;Cameroun;415 Rue des Affaires, Yaoundé, Cameroun;+237 222 23 00 00;info@bicec.com;https://www.bicec.com;https://www.linkedin.com/company/bicec;1-10;1993;58 millions XAF;93%;Demo Data - Configurez votre API key pour des données réelles
Finance Corp 14 CA;Entreprise spécialisée dans le secteur Finance au Cameroun. Acteur reconnu proposant des solutions adaptées aux besoins du marché local.;Finance;Cameroun;506 Rue des Affaires, Yaoundé, Cameroun;+243 882 31 88 62;contact@financecorp14ca.com;https://www.finance-corp-14-ca.com;https://www.linkedin.com/company/finance-corp-14-ca;1000+;2020;289 millions XAF;90%;Demo Data - Configurez votre API key pour des données réelles
Ecobank Cameroun;Groupe bancaire panafricain présent dans 35 pays;Finance;Cameroun;442 Rue des Affaires, Yaoundé, Cameroun;+237 222 23 43 43;ecobank@ecobank.cm;https://www.ecobank-cameroun.com;https://www.linkedin.com/company/ecobank-cameroun;1000+;2005;72 millions XAF;87%;Demo Data - Configurez votre API key pour des données réelles
Finance Corp 10 CA;Entreprise spécialisée dans le secteur Finance au Cameroun. Acteur reconnu proposant des solutions adaptées aux besoins du marché local.;Finance;Cameroun;416 Rue des Affaires, Yaoundé, Cameroun;+275 594 51 88 37;contact@financecorp10ca.com;https://www.finance-corp-10-ca.com;https://www.linkedin.com/company/finance-corp-10-ca;1-10;2015;179 millions XAF;86%;Demo Data - Configurez votre API key pour des données réelles
Finance Corp 16 CA;Entreprise spécialisée dans le secteur Finance au Cameroun. Acteur reconnu proposant des solutions adaptées aux besoins du marché local.;Finance;Cameroun;67 Rue des Affaires, Yaoundé, Cameroun;+214 369 48 31 62;contact@financecorp16ca.com;https://www.finance-corp-16-ca.com;https://www.linkedin.com/company/finance-corp-16-ca;51-200;2017;76 millions XAF;86%;Demo Data - Configurez votre API key pour des données réelles
SAAR Assurances;Assurances générales et spécialisées;Finance;Cameroun;24 Rue des Affaires, Yaoundé, Cameroun;+237 222 22 95 95;contact@saar.cm;https://www.saar-assurances.com;https://www.linkedin.com/company/saar-assurances;11-50;2002;40 millions XAF;84%;Demo Data - Configurez votre API key pour des données réelles
Finance Corp 19 CA;Entreprise spécialisée dans le secteur Finance au Cameroun. Acteur reconnu proposant des solutions adaptées aux besoins du marché local.;Finance;Cameroun;909 Rue des Affaires, Yaoundé, Cameroun;+265 815 67 93 89;contact@financecorp19ca.com;https://www.finance-corp-19-ca.com;https://www.linkedin.com/company/finance-corp-19-ca;1-10;2008;253 millions XAF;82%;Demo Data - Configurez votre API key pour des données réelles
Finance Corp 20 CA;Entreprise spécialisée dans le secteur Finance au Cameroun. Acteur reconnu proposant des solutions adaptées aux besoins du marché local.;Finance;Cameroun;202 Rue des Affaires, Yaoundé, Cameroun;+273 591 96 74 73;contact@financecorp20ca.com;https://www.finance-corp-20-ca.com;https://www.linkedin.com/company/finance-corp-20-ca;500-1000;2003;297 millions XAF;80%;Demo Data - Configurez votre API key pour des données réelles
Finance Corp 12 CA;Entreprise spécialisée dans le secteur Finance au Cameroun. Acteur reconnu proposant des solutions adaptées aux besoins du marché local.;Finance;Cameroun;214 Rue des Affaires, Yaoundé, Cameroun;+220 313 38 44 37;contact@financecorp12ca.com;https://www.finance-corp-12-ca.com;https://www.linkedin.com/company/finance-corp-12-ca;51-200;2011;70 millions XAF;79%;Demo Data - Configurez votre API key pour des données réelles
Crédit Communautaire Afrique;Microfinance et financement des PME;Finance;Cameroun;589 Rue des Affaires, Yaoundé, Cameroun;+237 233 40 50 60;contact@cca-bank.com;https://www.crédit-communautaire.com;https://www.linkedin.com/company/crédit-communautaire;51-200;2010;120 millions XAF;78%;Demo Data - Configurez votre API key pour des données réelles
